type,sitemap_url,legacy_apex_url,target_shop_url,redirect_policy,path
home,https://adeliedraw.cafe24.com/,https://adeliedraw.com/,,brand_home_no_redirect,/
shopinfo,https://adeliedraw.cafe24.com/shopinfo/company.html,https://adeliedraw.com/shopinfo/company.html,https://shop.adeliedraw.com/shopinfo/company.html,301_or_308_preserve_path_query,/shopinfo/company.html
member,https://adeliedraw.cafe24.com/member/agreement.html,https://adeliedraw.com/member/agreement.html,https://shop.adeliedraw.com/member/agreement.html,301_or_308_preserve_path_query,/member/agreement.html
member,https://adeliedraw.cafe24.com/member/privacy.html,https://adeliedraw.com/member/privacy.html,https://shop.adeliedraw.com/member/privacy.html,301_or_308_preserve_path_query,/member/privacy.html
board,https://adeliedraw.cafe24.com/board/공지사항/1/,https://adeliedraw.com/board/공지사항/1/,https://shop.adeliedraw.com/board/공지사항/1/,301_or_308_preserve_path_query,/board/공지사항/1/
board,https://adeliedraw.cafe24.com/board/상품-사용후기/4/,https://adeliedraw.com/board/상품-사용후기/4/,https://shop.adeliedraw.com/board/상품-사용후기/4/,301_or_308_preserve_path_query,/board/상품-사용후기/4/
category,https://adeliedraw.cafe24.com/category/스티커/42/,https://adeliedraw.com/category/스티커/42/,https://shop.adeliedraw.com/category/스티커/42/,301_or_308_preserve_path_query,/category/스티커/42/
category,https://adeliedraw.cafe24.com/category/마스킹테이프/43/,https://adeliedraw.com/category/마스킹테이프/43/,https://shop.adeliedraw.com/category/마스킹테이프/43/,301_or_308_preserve_path_query,/category/마스킹테이프/43/
category,https://adeliedraw.cafe24.com/category/떡메모지노트/44/,https://adeliedraw.com/category/떡메모지노트/44/,https://shop.adeliedraw.com/category/떡메모지노트/44/,301_or_308_preserve_path_query,/category/떡메모지노트/44/
category,https://adeliedraw.cafe24.com/category/다꾸용품/45/,https://adeliedraw.com/category/다꾸용품/45/,https://shop.adeliedraw.com/category/다꾸용품/45/,301_or_308_preserve_path_query,/category/다꾸용품/45/
category,https://adeliedraw.cafe24.com/category/펜필기구/46/,https://adeliedraw.com/category/펜필기구/46/,https://shop.adeliedraw.com/category/펜필기구/46/,301_or_308_preserve_path_query,/category/펜필기구/46/
category,https://adeliedraw.cafe24.com/category/편지지엽서/47/,https://adeliedraw.com/category/편지지엽서/47/,https://shop.adeliedraw.com/category/편지지엽서/47/,301_or_308_preserve_path_query,/category/편지지엽서/47/
category,https://adeliedraw.cafe24.com/category/데스크용품/48/,https://adeliedraw.com/category/데스크용품/48/,https://shop.adeliedraw.com/category/데스크용품/48/,301_or_308_preserve_path_query,/category/데스크용품/48/
category,https://adeliedraw.cafe24.com/category/선물패키지/49/,https://adeliedraw.com/category/선물패키지/49/,https://shop.adeliedraw.com/category/선물패키지/49/,301_or_308_preserve_path_query,/category/선물패키지/49/
category,https://adeliedraw.cafe24.com/category/패턴-마스킹테이프/50/,https://adeliedraw.com/category/패턴-마스킹테이프/50/,https://shop.adeliedraw.com/category/패턴-마스킹테이프/50/,301_or_308_preserve_path_query,/category/패턴-마스킹테이프/50/
category,https://adeliedraw.cafe24.com/category/투명다이컷-스티커/51/,https://adeliedraw.com/category/투명다이컷-스티커/51/,https://shop.adeliedraw.com/category/투명다이컷-스티커/51/,301_or_308_preserve_path_query,/category/투명다이컷-스티커/51/
category,https://adeliedraw.cafe24.com/category/씰스티커/52/,https://adeliedraw.com/category/씰스티커/52/,https://shop.adeliedraw.com/category/씰스티커/52/,301_or_308_preserve_path_query,/category/씰스티커/52/
category,https://adeliedraw.cafe24.com/category/리무버블-스티커/53/,https://adeliedraw.com/category/리무버블-스티커/53/,https://shop.adeliedraw.com/category/리무버블-스티커/53/,301_or_308_preserve_path_query,/category/리무버블-스티커/53/
category,https://adeliedraw.cafe24.com/category/단색그라데이션-마테/54/,https://adeliedraw.com/category/단색그라데이션-마테/54/,https://shop.adeliedraw.com/category/단색그라데이션-마테/54/,301_or_308_preserve_path_query,/category/단색그라데이션-마테/54/
category,https://adeliedraw.cafe24.com/category/플래너스케줄러/55/,https://adeliedraw.com/category/플래너스케줄러/55/,https://shop.adeliedraw.com/category/플래너스케줄러/55/,301_or_308_preserve_path_query,/category/플래너스케줄러/55/
category,https://adeliedraw.cafe24.com/category/떡메모지/56/,https://adeliedraw.com/category/떡메모지/56/,https://shop.adeliedraw.com/category/떡메모지/56/,301_or_308_preserve_path_query,/category/떡메모지/56/
category,https://adeliedraw.cafe24.com/category/핀셋소품도구/57/,https://adeliedraw.com/category/핀셋소품도구/57/,https://shop.adeliedraw.com/category/핀셋소품도구/57/,301_or_308_preserve_path_query,/category/핀셋소품도구/57/
category,https://adeliedraw.cafe24.com/category/다이어리노트/58/,https://adeliedraw.com/category/다이어리노트/58/,https://shop.adeliedraw.com/category/다이어리노트/58/,301_or_308_preserve_path_query,/category/다이어리노트/58/
category,https://adeliedraw.cafe24.com/category/광폭-마스킹테이프/59/,https://adeliedraw.com/category/광폭-마스킹테이프/59/,https://shop.adeliedraw.com/category/광폭-마스킹테이프/59/,301_or_308_preserve_path_query,/category/광폭-마스킹테이프/59/
category,https://adeliedraw.cafe24.com/category/형광펜마커/60/,https://adeliedraw.com/category/형광펜마커/60/,https://shop.adeliedraw.com/category/형광펜마커/60/,301_or_308_preserve_path_query,/category/형광펜마커/60/
category,https://adeliedraw.cafe24.com/category/보관-바인더포켓/61/,https://adeliedraw.com/category/보관-바인더포켓/61/,https://shop.adeliedraw.com/category/보관-바인더포켓/61/,301_or_308_preserve_path_query,/category/보관-바인더포켓/61/
category,https://adeliedraw.cafe24.com/category/스탬프인스/62/,https://adeliedraw.com/category/스탬프인스/62/,https://shop.adeliedraw.com/category/스탬프인스/62/,301_or_308_preserve_path_query,/category/스탬프인스/62/
category,https://adeliedraw.cafe24.com/category/겔펜볼펜/63/,https://adeliedraw.com/category/겔펜볼펜/63/,https://shop.adeliedraw.com/category/겔펜볼펜/63/,301_or_308_preserve_path_query,/category/겔펜볼펜/63/
category,https://adeliedraw.cafe24.com/category/동물-씰스티커/74/,https://adeliedraw.com/category/동물-씰스티커/74/,https://shop.adeliedraw.com/category/동물-씰스티커/74/,301_or_308_preserve_path_query,/category/동물-씰스티커/74/
category,https://adeliedraw.cafe24.com/category/식물-씰스티커/75/,https://adeliedraw.com/category/식물-씰스티커/75/,https://shop.adeliedraw.com/category/식물-씰스티커/75/,301_or_308_preserve_path_query,/category/식물-씰스티커/75/
category,https://adeliedraw.cafe24.com/category/폰케이스용-스티커/76/,https://adeliedraw.com/category/폰케이스용-스티커/76/,https://shop.adeliedraw.com/category/폰케이스용-스티커/76/,301_or_308_preserve_path_query,/category/폰케이스용-스티커/76/
category,https://adeliedraw.cafe24.com/category/노트북용-스티커/77/,https://adeliedraw.com/category/노트북용-스티커/77/,https://shop.adeliedraw.com/category/노트북용-스티커/77/,301_or_308_preserve_path_query,/category/노트북용-스티커/77/
category,https://adeliedraw.cafe24.com/category/일상-씰스티커/78/,https://adeliedraw.com/category/일상-씰스티커/78/,https://shop.adeliedraw.com/category/일상-씰스티커/78/,301_or_308_preserve_path_query,/category/일상-씰스티커/78/
category,https://adeliedraw.cafe24.com/category/빅사이즈-스티커/79/,https://adeliedraw.com/category/빅사이즈-스티커/79/,https://shop.adeliedraw.com/category/빅사이즈-스티커/79/,301_or_308_preserve_path_query,/category/빅사이즈-스티커/79/
category,https://adeliedraw.cafe24.com/category/조각-조각-스티커/80/,https://adeliedraw.com/category/조각-조각-스티커/80/,https://shop.adeliedraw.com/category/조각-조각-스티커/80/,301_or_308_preserve_path_query,/category/조각-조각-스티커/80/
category,https://adeliedraw.cafe24.com/category/체크-마스킹테이프/81/,https://adeliedraw.com/category/체크-마스킹테이프/81/,https://shop.adeliedraw.com/category/체크-마스킹테이프/81/,301_or_308_preserve_path_query,/category/체크-마스킹테이프/81/
category,https://adeliedraw.cafe24.com/category/오브제-데코-스티커/82/,https://adeliedraw.com/category/오브제-데코-스티커/82/,https://shop.adeliedraw.com/category/오브제-데코-스티커/82/,301_or_308_preserve_path_query,/category/오브제-데코-스티커/82/
category,https://adeliedraw.cafe24.com/category/투명-스티커팩/83/,https://adeliedraw.com/category/투명-스티커팩/83/,https://shop.adeliedraw.com/category/투명-스티커팩/83/,301_or_308_preserve_path_query,/category/투명-스티커팩/83/
